Identification,Latitude,Longitude,Time of Observation,Ice Accretion On Ship,Thickness of Ice Accretion On Ship,Rate of Ice Accretion on Ship,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Wet Bulb Temperature,Dew Point Temperature,Sea Surface Temperature,Wave Direction,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Low Cloud Type,Cloud Height Indicator,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Visibility Indicator,Present Weather,Past Weather,Wind Direction,Wind Speed
44255, 47.3, 302.7,2010-08-01T00:00:00, , , ,29.93,2,0.04,56.7, , ,55.9, , 7, 2, , , , , , , , , , , , , , ,270, 20
44255, 47.3, 303.0,2010-08-01T01:00:00, , , ,29.93, , ,56.5, , ,55.8, , 8, 2,33, , , , , , ,A, , , , , , ,240, 20
44255, 47.3, 302.7,2010-08-01T02:00:00, , , ,29.94, , ,56.1, , ,55.6, , 8, 2, , , , , , , , , , , , , , ,230, 20
44255, 47.3, 303.0,2010-08-01T03:00:00, , , ,29.95,2,0.01,56.3, , ,55.6, , 8, 2,33, , , , , , ,A, , , , , , ,260, 30
44255, 47.3, 303.0,2010-08-01T04:00:00, , , ,29.95,2,0.02,55.9, , ,55.8, , 7, 2,33, , , , , , ,A, , , , , , ,280, 20
44255, 47.3, 303.0,2010-08-01T05:00:00, , , ,29.96,2,0.02,55.8, , ,55.8, , 7, 2,33, , , , , , ,A, , , , , , ,330, 10
44255, 47.3, 303.0,2010-08-01T06:00:00, , , ,29.97,2,0.02,55.8, , ,55.6, , 7, 2,33, , , , , , ,A, , , , , , , 80, 10
44255, 47.3, 303.0,2010-08-01T07:00:00, , , ,29.98,2,0.03,55.9, , ,55.6, , 8, 2,33, , , , , , ,A, , , , , , ,180, 30
44255, 47.3, 303.0,2010-08-01T08:00:00, , , ,30.00,2,0.04,55.9, , ,55.6, , 8, 2,33, , , , , , ,A, , , , , , ,200, 20
44255, 47.3, 303.0,2010-08-01T09:00:00, , , ,30.02,2,0.05,55.9, , ,55.8, , 7, 2,33, , , , , , ,A, , , , , , ,350, 10
44255, 47.3, 303.0,2010-08-01T10:00:00, , , ,30.03,2,0.04,56.3, , ,55.9, , 8, 2,33, , , , , , ,A, , , , , , ,360, 20
44255, 47.3, 303.0,2010-08-01T11:00:00, , , ,30.03,2,0.04,57.2, , ,56.1, , 8, 2,33, , , , , , ,A, , , , , , ,230, 10
44255, 47.3, 303.0,2010-08-01T12:00:00, , , ,30.05,2,0.04,57.0, , ,56.3, , 7, 2,33, , , , , , ,A, , , , , , , 60, 10
44255, 47.3, 303.0,2010-08-01T13:00:00, , , ,30.06,2,0.04,57.6, , ,56.5, , 8, 2,33, , , , , , ,A, , , , , , ,140,  0
44255, 47.3, 303.0,2010-08-01T14:00:00, , , ,30.06,2,0.02,59.0, , ,57.0, , 7, 2,33, , , , , , ,A, , , , , , ,160,  0
44255, 47.3, 303.0,2010-08-01T15:00:00, , , ,30.07,2,0.01,60.6, , ,57.7, ,10, 2,33, , , , , , ,A, , , , , , ,280,  0
44255, 47.3, 303.0,2010-08-01T16:00:00, , , ,30.07,2,0.00,61.0, , ,58.3, ,10, 3,33, , , , , , ,A, , , , , , ,120, 10
44255, 47.3, 303.0,2010-08-01T17:00:00, , , ,30.07,2,0.01,59.2, , ,59.7, , 9, 3,33, , , , , , ,A, , , , , , ,160, 20
44255, 47.3, 303.0,2010-08-01T18:00:00, , , ,30.08,2,0.01,59.5, , ,59.2, , 9, 3,33, , , , , , ,A, , , , , , ,180, 10
44255, 47.3, 303.0,2010-08-01T19:00:00, , , ,30.08,2,0.01,58.6, , ,59.2, ,10, 3,33, , , , , , ,A, , , , , , ,250, 20
44255, 47.3, 303.0,2010-08-01T20:00:00, , , ,30.08,2,0.01,58.3, , ,58.5, , 9, 3,33, , , , , , ,A, , , , , , ,300, 30
44255, 47.3, 303.0,2010-08-01T21:00:00, , , ,30.08,2,0.00,58.5, , ,58.5, , 8, 3,33, , , , , , ,A, , , , , , ,300, 20
44255, 47.3, 303.0,2010-08-01T22:00:00, , , ,30.09,2,0.01,58.1, , ,58.3, ,10, 3,33, , , , , , ,A, , , , , , ,320, 40
44255, 47.3, 303.0,2010-08-01T23:00:00, , , ,30.09,2,0.01,57.7, , ,57.7, , 8, 2,33, , , , , , ,A, , , , , , ,320, 40
44255, 47.3, 303.0,2010-08-02T00:00:00, , , ,30.11,2,0.03,57.4, , ,57.6, , 8, 2,33, , , , , , ,A, , , , , , ,330, 40
44255, 47.3, 303.0,2010-08-02T01:00:00, , , ,30.12,2,0.03,56.7, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , ,320, 50
44255, 47.3, 303.0,2010-08-02T02:00:00, , , ,30.11,2,0.02,55.9, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , ,310, 30
44255, 47.3, 303.0,2010-08-02T03:00:00, , , ,30.12,2,0.01,55.4, , ,57.6, , 9, 2,33, , , , , , ,A, , , , , , ,260, 30
44255, 47.3, 303.0,2010-08-02T04:00:00, , , ,30.13,2,0.01,55.4, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , ,240, 30
44255, 47.3, 303.0,2010-08-02T05:00:00, , , ,30.13,2,0.01,55.4, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , ,250, 10
44255, 47.3, 303.0,2010-08-02T06:00:00, , , ,30.13,2,0.01,55.4, , ,57.2, , 8, 2,33, , , , , , ,A, , , , , , ,310,  0
44255, 47.3, 303.0,2010-08-02T07:00:00, , , ,30.14,2,0.01,55.2, , ,57.2, , 9, 2,33, , , , , , ,A, , , , , , , 80,  0
44255, 47.3, 303.0,2010-08-02T08:00:00, , , ,30.15,2,0.03,55.2, , ,57.4, , 9, 2,33, , , , , , ,A, , , , , , , 80,  0
44255, 47.3, 303.0,2010-08-02T09:00:00, , , ,30.17,2,0.04,55.6, , ,57.6, , 8, 2,33, , , , , , ,A, , , , , , ,160,  0
44255, 47.3, 303.0,2010-08-02T10:00:00, , , ,30.18,2,0.05,55.9, , ,57.4, , 9, 2,33, , , , , , ,A, , , , , , , 70, 20
44255, 47.3, 303.0,2010-08-02T11:00:00, , , ,30.18,2,0.03,56.5, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , , 90, 30
44255, 47.3, 303.0,2010-08-02T12:00:00, , , ,30.20,2,0.03,57.6, , ,57.2, , 9, 2,33, , , , , , ,A, , , , , , ,100, 20
44255, 47.3, 303.0,2010-08-02T13:00:00, , , ,30.20,2,0.02,57.7, , ,57.2, , 8, 2,33, , , , , , ,A, , , , , , , 50, 20
44255, 47.3, 303.0,2010-08-02T14:00:00, , , ,30.18,7,0.00,58.3, , ,57.2, , 8, 2,33, , , , , , ,A, , , , , , , 80, 30
44255, 47.3, 303.0,2010-08-02T15:00:00, , , ,30.18,7,0.02,58.6, , ,57.4, , 8, 2,33, , , , , , ,A, , , , , , , 40, 20
44255, 47.3, 303.0,2010-08-02T16:00:00, , , ,30.17,7,0.03,59.9, , ,57.6, , 9, 2,33, , , , , , ,A, , , , , , , 90, 30
44255, 47.3, 303.0,2010-08-02T17:00:00, , , ,30.16,7,0.02,60.4, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , , 40, 20
44255, 47.3, 303.0,2010-08-02T18:00:00, , , ,30.15,7,0.02,61.5, , ,58.3, , 8, 2,33, , , , , , ,A, , , , , , , 60, 20
44255, 47.3, 303.0,2010-08-02T19:00:00, , , ,30.16,7,0.01,62.4, , ,59.2, , 9, 2,33, , , , , , ,A, , , , , , , 50, 20
44255, 47.3, 303.0,2010-08-02T20:00:00, , , ,30.14,7,0.01,62.2, , ,59.9, , 9, 2,33, , , , , , ,A, , , , , , , 70, 20
44255, 47.3, 303.0,2010-08-02T21:00:00, , , ,30.13,7,0.02,61.9, , ,59.7, , 9, 2,33, , , , , , ,A, , , , , , , 50, 30
44255, 47.3, 303.0,2010-08-02T22:00:00, , , ,30.12,7,0.04,61.2, , ,59.2, , 8, 2,33, , , , , , ,A, , , , , , , 60, 20
44255, 47.3, 303.0,2010-08-02T23:00:00, , , ,30.12,7,0.03,61.0, , ,59.2, , 9, 2,33, , , , , , ,A, , , , , , , 60, 20
44255, 47.3, 303.0,2010-08-03T00:00:00, , , ,30.11,7,0.03,61.9, , ,59.0, , 8, 2,33, , , , , , ,A, , , , , , , 90, 40
44255, 47.3, 303.0,2010-08-03T01:00:00, , , ,30.09,7,0.03,61.3, , ,58.8, , 8, 2,33, , , , , , ,A, , , , , , ,120, 60
44255, 47.3, 303.0,2010-08-03T02:00:00, , , ,30.06,7,0.05,61.2, , ,58.3, , 9, 2,33, , , , , , ,A, , , , , , ,100, 80
44255, 47.3, 303.0,2010-08-03T03:00:00, , , ,30.05,7,0.05,59.9, , ,58.1, , 8, 2,33, , , , , , ,A, , , , , , , 90, 80
44255, 47.3, 303.0,2010-08-03T04:00:00, , , ,30.03,7,0.06,59.5, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , , 70, 90
44255, 47.3, 303.0,2010-08-03T05:00:00, , , ,30.00,7,0.06,59.9, , ,57.6, ,10, 2,33, , , , , , ,A, , , , , , , 70, 80
44255, 47.3, 303.0,2010-08-03T06:00:00, , , ,30.00,7,0.05,59.0, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , , 40, 30
44255, 47.3, 303.0,2010-08-03T07:00:00, , , ,29.98,7,0.04,57.7, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , , 30, 40
44255, 47.3, 303.0,2010-08-03T08:00:00, , , ,29.96,7,0.04,57.9, , ,57.7, , 8, 2,33, , , , , , ,A, , , , , , , 30, 60
44255, 47.3, 303.0,2010-08-03T09:00:00, , , ,29.97,7,0.03,58.5, , ,57.7, , 8, 2,33, , , , , , ,A, , , , , , , 20, 50
44255, 47.3, 303.0,2010-08-03T10:00:00, , , ,29.98,7,0.01,58.6, , ,57.7, , 8, 2,33, , , , , , ,A, , , , , , ,360, 50
44255, 47.3, 303.0,2010-08-03T11:00:00, , , ,29.98,2,0.01,59.0, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , ,350, 60
44255, 47.3, 303.0,2010-08-03T12:00:00, , , ,29.98,2,0.01,59.4, , ,57.7, , 9, 2,33, , , , , , ,A, , , , , , ,350, 50
44255, 47.3, 303.0,2010-08-03T13:00:00, , , ,30.00,2,0.02,59.7, , ,57.9, , 8, 2,33, , , , , , ,A, , , , , , ,330, 40
44255, 47.3, 303.0,2010-08-03T14:00:00, , , ,30.00,2,0.02,59.9, , ,58.1, , 9, 2,33, , , , , , ,A, , , , , , ,320, 30
44255, 47.3, 303.0,2010-08-03T15:00:00, , , ,30.01,2,0.03,60.4, , ,58.6, , 9, 2,33, , , , , , ,A, , , , , , ,280, 20
44255, 47.3, 303.0,2010-08-03T16:00:00, , , ,30.00,2,0.01,61.0, , ,59.0, , 8, 2,33, , , , , , ,A, , , , , , ,280, 30
44255, 47.3, 303.0,2010-08-03T17:00:00, , , ,29.99,7,0.01,61.2, , ,59.4, , 8, 1,33, , , , , , ,A, , , , , , ,270, 30
44255, 47.3, 303.0,2010-08-03T18:00:00, , , ,29.99,7,0.02,61.5, , ,59.9, , 8, 1,33, , , , , , ,A, , , , , , ,260, 40
44255, 47.3, 303.0,2010-08-03T19:00:00, , , ,30.00,4,0.00,61.3, , ,60.1, , 9, 2,33, , , , , , ,A, , , , , , ,270, 50
44255, 47.3, 303.0,2010-08-03T20:00:00, , , ,30.00,2,0.01,61.5, , ,59.9, , 8, 2,33, , , , , , ,A, , , , , , ,280, 40
44255, 47.3, 303.0,2010-08-03T21:00:00, , , ,30.00,2,0.01,61.2, , ,59.7, , 8, 2,33, , , , , , ,A, , , , , , ,270, 40
44255, 47.3, 303.0,2010-08-03T22:00:00, , , ,30.01,2,0.00,61.0, , ,59.7, , 8, 2,33, , , , , , ,A, , , , , , ,270, 40
44255, 47.3, 303.0,2010-08-03T23:00:00, , , ,30.01,2,0.00,60.6, , ,59.7, , 8, 2,33, , , , , , ,A, , , , , , ,230, 50
44255, 47.3, 303.0,2010-08-04T00:00:00, , , ,30.01,2,0.01,61.0, , ,59.5, , 8, 2,33, , , , , , ,A, , , , , , ,240, 60
44255, 47.3, 303.0,2010-08-04T01:00:00, , , ,30.01,2,0.01,61.2, , ,59.5, , 8, 2,33, , , , , , ,A, , , , , , ,250, 60
44255, 47.3, 303.0,2010-08-04T02:00:00, , , ,30.00,7,0.01,61.0, , ,59.4, , 8, 2,33, , , , , , ,A, , , , , , ,240, 40
44255, 47.3, 303.0,2010-08-04T03:00:00, , , ,30.01,7,0.00,61.0, , ,59.2, , 7, 2,33, , , , , , ,A, , , , , , ,240, 50
44255, 47.3, 303.0,2010-08-04T04:00:00, , , ,30.00,7,0.01,60.6, , ,59.0, , 8, 2,33, , , , , , ,A, , , , , , ,230, 40
44255, 47.3, 303.0,2010-08-04T05:00:00, , , ,29.99,7,0.01,60.3, , ,59.0, , 9, 3,33, , , , , , ,A, , , , , , ,210, 30
44255, 47.3, 303.0,2010-08-04T06:00:00, , , ,29.98,7,0.03,60.3, , ,59.0, , 9, 2,33, , , , , , ,A, , , , , , ,220, 30
44255, 47.3, 303.0,2010-08-04T07:00:00, , , ,29.97,7,0.03,60.6, , ,59.2, ,10, 2,33, , , , , , ,A, , , , , , ,180, 20
44255, 47.3, 303.0,2010-08-04T08:00:00, , , ,29.98,7,0.01,60.4, , ,59.2, , 9, 2,33, , , , , , ,A, , , , , , ,220, 20
44255, 47.3, 303.0,2010-08-04T09:00:00, , , ,29.97,7,0.01,60.3, , ,59.2, , 9, 2,33, , , , , , ,A, , , , , , ,170, 10
44255, 47.3, 303.0,2010-08-04T10:00:00, , , ,29.97,4,0.00,60.3, , ,59.2, , 8, 2,33, , , , , , ,A, , , , , , ,160, 30
44255, 47.3, 303.0,2010-08-04T11:00:00, , , ,29.97,7,0.02,60.4, , ,59.4, , 8, 2,33, , , , , , ,A, , , , , , ,140, 20
44255, 47.3, 303.0,2010-08-04T12:00:00, , , ,29.96,7,0.01,60.8, , ,59.4, , 9, 2,33, , , , , , ,A, , , , , , ,200, 20
44255, 47.3, 303.0,2010-08-04T13:00:00, , , ,29.96,7,0.01,61.2, , ,59.5, ,10, 2,33, , , , , , ,A, , , , , , ,190, 10
44255, 47.3, 303.0,2010-08-04T14:00:00, , , ,29.94,7,0.02,61.2, , ,59.4, ,10, 2,33, , , , , , ,A, , , , , , ,210, 30
44255, 47.3, 303.0,2010-08-04T15:00:00, , , ,29.93,7,0.03,61.2, , ,59.4, , 8, 2,33, , , , , , ,A, , , , , , ,190, 40
44255, 47.3, 303.0,2010-08-04T16:00:00, , , ,29.91,7,0.05,61.0, , ,59.5, , 9, 2,33, , , , , , ,A, , , , , , ,200, 40
44255, 47.3, 303.0,2010-08-04T17:00:00, , , ,29.88,7,0.06,61.3, , ,59.5, , 8, 2,33, , , , , , ,A, , , , , , ,180, 50
44255, 47.3, 303.0,2010-08-04T18:00:00, , , ,29.86,7,0.07,61.9, , ,59.4, , 9, 2,33, , , , , , ,A, , , , , , ,220, 70
44255, 47.3, 303.0,2010-08-04T19:00:00, , , ,29.85,7,0.05,61.9, , ,59.2, ,10, 2,33, , , , , , ,A, , , , , , ,230, 90
44255, 47.3, 303.0,2010-08-04T20:00:00, , , ,29.85,7,0.04,61.5, , ,58.8, , 8, 3,33, , , , , , ,A, , , , , , ,220,100
44255, 47.3, 303.0,2010-08-04T21:00:00, , , ,29.84,7,0.03,61.3, , ,58.6, , 9, 4,33, , , , , , ,A, , , , , , ,210, 90
44255, 47.3, 303.0,2010-08-04T22:00:00, , , ,29.83,7,0.02,61.3, , ,58.5, , 8, 4,33, , , , , , ,A, , , , , , ,210, 80
44255, 47.3, 303.0,2010-08-04T23:00:00, , , ,29.82,7,0.03,61.0, , ,58.5, , 6, 3,33, , , , , , ,A, , , , , , ,210, 90
44255, 47.3, 303.0,2010-08-05T00:00:00, , , ,29.82,7,0.01,60.8, , ,58.5, , 6, 3,33, , , , , , ,A, , , , , , ,200, 80
44255, 47.3, 303.0,2010-08-05T01:00:00, , , ,29.82,7,0.02,60.3, , ,58.3, , 6, 3,33, , , , , , ,A, , , , , , ,200, 80
44255, 47.3, 303.0,2010-08-05T02:00:00, , , ,29.80,7,0.02,60.3, , ,58.3, , 6, 3,33, , , , , , ,A, , , , , , ,180, 70
